"Créateur";"Titre";"Editeur";"Date";"Description";"Type";"Format";"Langue";"Identifiant";"URL";"SOURCE";"droits"
"Bonneau , Albert (1898-1967)";"La merveilleuse tournée : roman";"Société d'éditions publications et industries annexes";"impr. 1937";"Collection Fama ; 527";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_527_C90858";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_527_C90858.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bonneau , Albert (1898-1967)";"Le coeur de Minouchette : roman";"Société d'éditions publications et industries annexes";"impr. 1937";"Collection Fama ; 553";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_553_C90867";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_553_C90867.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bonneau , Albert (1898-1967)";"Ma chère petite ville : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 594";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_594_C90884";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_594_C90884.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bonneau , Albert (1898-1967)";"Tantinette : roman";"Société d'éditions publications et industries annexes";"impr. 1936";"Collection Fama ; 480";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_480_C90851";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_480_C90851.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Boulan , Robert-Jean (1903-1959)";"Au paradis des étoiles : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 596";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_596_C90886";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_596_C90886.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Boulan , Robert-Jean (1903-1959)";"L' ombre sur la route : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 609";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_609_C90895";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_609_C90895.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Cère , Lise de (1893-1978)";"La fée du val d'Erèbe : roman";"Société d'éditions publications et industries annexes";"impr.1937";"Collection Fama ; 556";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_556_C90868";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_556_C90868.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Chaigneau , Pierre";"Une idylle en mer : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 584";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_584_C90880";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_584_C90880.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Ciska";"J'aime qu'on m'aime : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 581";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_581_C90879";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_581_C90879.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Contino , Magda";"Le monsieur des ruines : roman";"Société d'éditions publications et industries annexes";"impr. 1939";"Collection Fama ; 649";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_649_C90914";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_649_C90914.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
