"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source 1";"Source 2";"langue";"Relation";"couverture";"droits";"url"
"Potentilla pyrenaica  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_pyrenaica_CLF138063";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_pyrenaica_CLF138063.jpg"
"Potentilla pyrenaica  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_pyrenaica_CLF138064";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_pyrenaica_CLF138064.jpg"
"Potentilla recta  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_recta_CLF138065";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_recta_CLF138065.jpg"
"Potentilla recta  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_recta_CLF138066";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_recta_CLF138066.jpg"
"Potentilla recta  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_recta_CLF138067";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_recta_CLF138067.jpg"
"Potentilla reptans  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_reptans_CLF138068";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_reptans_CLF138068.jpg"
"Potentilla rupestris  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_rupestris_CLF138069";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_rupestris_CLF138069.jpg"
"Potentilla rupestris  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_rupestris_CLF138070";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_rupestris_CLF138070.jpg"
"Potentilla rupestris  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_rupestris_CLF138071";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_rupestris_CLF138071.jpg"
"Potentilla thuringiaca  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_thuringiaca_CLF138072";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_thuringiaca_CLF138072.jpg"
"Potentilla thuringiaca  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_thuringiaca_CLF138073";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_thuringiaca_CLF138073.jpg"
"Potentilla thuringiaca  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_thuringiaca_CLF138074";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_thuringiaca_CLF138074.jpg"
"Potentilla saxifraga  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_saxifraga_CLF138075";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_saxifraga_CLF138075.jpg"
"Potentilla sterilis  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_sterilis_CLF138076";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_sterilis_CLF138076.jpg"
"Potentilla sterilis  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_sterilis_CLF138077";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_sterilis_CLF138077.jpg"
"Potentilla sterilis  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_sterilis_CLF138078";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_sterilis_CLF138078.jpg"
"Potentilla supina  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_supina_CLF138079";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_supina_CLF138079.jpg"
"Potentilla supina  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_supina_CLF138080";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_supina_CLF138080.jpg"
"Potentilla supina  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_supina_CLF138081";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_supina_CLF138081.jpg"
"Potentilla valderia  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_valderia_CLF138082";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_valderia_CLF138082.jpg"
"Potentilla valderia  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Potentilla_valderia_CLF138083";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_valderia_CLF138083.jpg"
"Prunus amygdalus  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Prunus_amygdalus_CLF138084";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Prunus_amygdalus_CLF138084.jpg"
"Prunus avium  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Prunus_avium_CLF138085";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Prunus_avium_CLF138085.jpg"
"Prunus brigantiaca  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Prunus_brigantiaca_CLF138086";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Prunus_brigantiaca_CLF138086.jpg"
"Prunus cerasifera  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Prunus_cerasifera_CLF138087";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Prunus_cerasifera_CLF138087.jpg"
"Prunus cerasifera  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Prunus_cerasifera_CLF138088";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Prunus_cerasifera_CLF138088.jpg"
"Prunus mahalet  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Prunus_mahalet_CLF138089";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Prunus_mahalet_CLF138089.jpg"
"Prunus nigra  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Prunus_nigra_CLF138090";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Prunus_nigra_CLF138090.jpg"
"Prunus padus  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Prunus_padus_CLF138091";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Prunus_padus_CLF138091.jpg"
"Prunus prostrata  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Prunus_prostrata_CLF138092";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Prunus_prostrata_CLF138092.jpg"
"Prunus spinosa  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Prunus_spinosa_CLF138093";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Prunus_spinosa_CLF138093.jpg"
"Pyracantha coccinea  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Pyracantha_coccinea_CLF138094";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Pyracantha_coccinea_CLF138094.jpg"
"Rosa agrestis  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_agrestis_CLF138095";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_agrestis_CLF138095.jpg"
"Rosa agrestis  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_agrestis_CLF138096";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_agrestis_CLF138096.jpg"
"Rosa agrestis  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_agrestis_CLF138097";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_agrestis_CLF138097.jpg"
"Rosa arvensis  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_arvensis_CLF138098";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_arvensis_CLF138098.jpg"
"Rosa arvensis  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_arvensis_CLF138099";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_arvensis_CLF138099.jpg"
"Rosa canina  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_canina_CLF138100";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_canina_CLF138100.jpg"
"Rosa canina  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_canina_CLF138101";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_canina_CLF138101.jpg"
"Rosa canina  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_canina_CLF138102";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_canina_CLF138102.jpg"
"Rosa canina  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_canina_CLF138103";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_canina_CLF138103.jpg"
"Rosa canina  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_canina_CLF138104";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_canina_CLF138104.jpg"
"Rosa canina  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_canina_CLF138105";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_canina_CLF138105.jpg"
"Rosa canina  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_canina_CLF138106";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_canina_CLF138106.jpg"
"Rosa canina  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_canina_CLF138107";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_canina_CLF138107.jpg"
"Rosa elliptica  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_elliptica_CLF138108";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_elliptica_CLF138108.jpg"
"Rosa elliptica  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_elliptica_CLF138109";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_elliptica_CLF138109.jpg"
"Rosa elliptica  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_elliptica_CLF138110";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_elliptica_CLF138110.jpg"
"Rosa gallica  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_gallica_CLF138111";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_gallica_CLF138111.jpg"
"Rosa glauca  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_glauca_CLF138112";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_glauca_CLF138112.jpg"
"Rosa glauca  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_glauca_CLF138113";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_glauca_CLF138113.jpg"
"Rosa glauca  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_glauca_CLF138114";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_glauca_CLF138114.jpg"
"Rosa lutea  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_lutea_CLF138115";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_lutea_CLF138115.jpg"
"Rosa montana  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_montana_CLF138116";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_montana_CLF138116.jpg"
"Rosa marginata  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_marginata_CLF138117";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_marginata_CLF138117.jpg"
"Rosa marginata  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_marginata_CLF138118";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_marginata_CLF138118.jpg"
"Rosa micrantha  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_micrantha_CLF138119";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_micrantha_CLF138119.jpg"
"Rosa micrantha  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_micrantha_CLF138120";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_micrantha_CLF138120.jpg"
"Rosa micrantha  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_micrantha_CLF138121";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_micrantha_CLF138121.jpg"
"Rosa pendulina  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_pendulina_CLF138122";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_pendulina_CLF138122.jpg"
"Rosa pendulina  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_pendulina_CLF138123";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_pendulina_CLF138123.jpg"
"Rosa pendulina  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_pendulina_CLF138124";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_pendulina_CLF138124.jpg"
"Rosa pouzinii  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_pouzinii_CLF138125";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_pouzinii_CLF138125.jpg"
"Rosa pulverulenta  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_pulverulenta_CLF138126";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_pulverulenta_CLF138126.jpg"
"Rosa rubiginosa  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_rubiginosa_CLF138127";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_rubiginosa_CLF138127.jpg"
"Rosa rubiginosa  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_rubiginosa_CLF138128";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_rubiginosa_CLF138128.jpg"
"Rosa rugosa  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_rugosa_CLF138129";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_rugosa_CLF138129.jpg"
"Rosa sempervirens  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_sempervirens_CLF138130";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_sempervirens_CLF138130.jpg"
"Rosa spinosissima  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_spinosissima_CLF138131";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_spinosissima_CLF138131.jpg"
"Rosa spinosissima  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_spinosissima_CLF138132";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_spinosissima_CLF138132.jpg"
"Rosa stylosa  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_stylosa_CLF138133";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_stylosa_CLF138133.jpg"
"Rosa tomentosa  (Rosaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Rosaceae_Rosa_tomentosa_CLF138134";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_tomentosa_CLF138134.jpg"
