"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source 1";"Source 2";"langue";"Relation";"couverture";"droits";"url"
"Iris lutescens  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_lutescens_CLF125320";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_lutescens_CLF125320.jpg"
"Iris orientalis  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_orientalis_CLF125321";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_orientalis_CLF125321.jpg"
"Iris pseudacorus  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_pseudacorus_CLF125322";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_pseudacorus_CLF125322.jpg"
"Iris pseudacorus  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_pseudacorus_CLF125323";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_pseudacorus_CLF125323.jpg"
"Iris sibirica  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_sibirica_CLF125324";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_sibirica_CLF125324.jpg"
"Iris sibirica  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_sibirica_CLF125325";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_sibirica_CLF125325.jpg"
"Iris sisyrinchium  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_sisyrinchium_CLF125326";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_sisyrinchium_CLF125326.jpg"
"Iris sisyrinchium  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_sisyrinchium_CLF125327";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_sisyrinchium_CLF125327.jpg"
"Iris spuria  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_spuria_CLF125328";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_spuria_CLF125328.jpg"
"Iris taitii  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_taitii_CLF125329";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_taitii_CLF125329.jpg"
