"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Potentilla supina (Rosaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1990;"still image";"image/jpeg";"Rosaceae_Potentilla_supina_CLF113189";"Bibliothèque Université Clermont auvergne";"fre";;"Saint-Martin-des-Champs, étang Lélu";"Domaine public";"Rosaceae_Potentilla_supina_CLF113189.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_supina_CLF113189.jpg"
"Potentilla tormentilla (Rosaceae)";"Jean-Baptiste";;;;"Herbiers universitaires de Clermont-Ferrand";1926;"still image";"image/jpeg";"Rosaceae_Potentilla_tormentilla_CLF113206";"Bibliothèque Université Clermont auvergne";"fre";;"Saint Saulge";"Domaine public";"Rosaceae_Potentilla_tormentilla_CLF113206.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_tormentilla_CLF113206.jpg"
"Potentilla tormentilla (Rosaceae)";"Jean-Baptiste";;;;"Herbiers universitaires de Clermont-Ferrand";1934;"still image";"image/jpeg";"Rosaceae_Potentilla_tormentilla_CLF113202";"Bibliothèque Université Clermont auvergne";"fre";;"Dompierre sur Nièvre";"Domaine public";"Rosaceae_Potentilla_tormentilla_CLF113202.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_tormentilla_CLF113202.jpg"
"Potentilla tormentilla (Rosaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Rosaceae_Potentilla_tormentilla_CLF113193";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Rosaceae_Potentilla_tormentilla_CLF113193.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_tormentilla_CLF113193.jpg"
"Potentilla verna (Rosaceae)";"Jean-Baptiste";;;;"Herbiers universitaires de Clermont-Ferrand";1926;"still image";"image/jpeg";"Rosaceae_Potentilla_verna_CLF113200";"Bibliothèque Université Clermont auvergne";"fre";;"Saint-Saulge";"Domaine public";"Rosaceae_Potentilla_verna_CLF113200.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_verna_CLF113200.jpg"
"Poterium sanguisorba (Rosaceae)";"Jean-Baptiste";;;;"Herbiers universitaires de Clermont-Ferrand";1930;"still image";"image/jpeg";"Rosaceae_Poterium_sanguisorba_CLF113079";"Bibliothèque Université Clermont auvergne";"fre";;"Saint Saulge";"Domaine public";"Rosaceae_Poterium_sanguisorba_CLF113079.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Poterium_sanguisorba_CLF113079.jpg"
"Prunus cerasus austera (Malaceae)";"Jean-Baptiste";;;;"Herbiers universitaires de Clermont-Ferrand";1943;"still image";"image/jpeg";"Malaceae_Prunus_cerasus_austera_CLF113214";"Bibliothèque Université Clermont auvergne";"fre";;"Préporché";"Domaine public";"Malaceae_Prunus_cerasus_austera_CLF113214.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Malaceae_Prunus_cerasus_austera_CLF113214.jpg"
"Prunus mahaleb (Malaceae)";"Jean-Baptiste";;;;"Herbiers universitaires de Clermont-Ferrand";1934;"still image";"image/jpeg";"Malaceae_Prunus_mahaleb_CLF113216";"Bibliothèque Université Clermont auvergne";"fre";;"Dompierre sur Nièvre";"Domaine public";"Malaceae_Prunus_mahaleb_CLF113216.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Malaceae_Prunus_mahaleb_CLF113216.jpg"
"Prunus padus (Amygdalaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1992;"still image";"image/jpeg";"Amygdalaceae_Prunus_padus_CLF113212";"Bibliothèque Université Clermont auvergne";"fre";;"Urzy, passage à niveau";"Domaine public";"Amygdalaceae_Prunus_padus_CLF113212.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Amygdalaceae_Prunus_padus_CLF113212.jpg"
"Prunus padus (Malaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1979;"still image";"image/jpeg";"Malaceae_Prunus_padus_CLF113209";"Bibliothèque Université Clermont auvergne";"fre";;"Lurcy-Lévis, étang Billot";"Domaine public";"Malaceae_Prunus_padus_CLF113209.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Malaceae_Prunus_padus_CLF113209.jpg"
