"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Acer platanoides  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_platanoides_CLF114615";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_platanoides_CLF114615.jpg"
"Acer pseudoplatanus  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_pseudoplatanus_CLF114616";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_pseudoplatanus_CLF114616.jpg"
"Acer pseudoplatanus  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_pseudoplatanus_CLF114617";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_pseudoplatanus_CLF114617.jpg"
"Acer sempervirens  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_sempervirens_CLF114618";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_sempervirens_CLF114618.jpg"
"Acer saccharinum  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_saccharinum_CLF114619";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_saccharinum_CLF114619.jpg"
"Acer sempervirens  (Aceracees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aceracees_Acer_sempervirens_CLF114621";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aceracees_Acer_sempervirens_CLF114621.jpg"
"Actinidia chinensis  (Actinidiacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Actinidiacees_Actinidia_chinensis_CLF114620";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Actinidiacees_Actinidia_chinensis_CLF114620.jpg"
"Yucca filamentosa  (Agavacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Agavacees_Yucca_filamentosa_CLF114622";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Agavacees_Yucca_filamentosa_CLF114622.jpg"
"Aizoon canariensa  (Aizoacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aizoacees_Aizoon_canariensa_CLF114624";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aizoacees_Aizoon_canariensa_CLF114624.jpg"
"Aizoon canariensis  (Aizoacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aizoacees_Aizoon_canariensis_CLF114623";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aizoacees_Aizoon_canariensis_CLF114623.jpg"
