"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Lonsdale, Michael (1931-…)";"Lonsdale, Michael (1931-…)";;;"Livre : Jardins d'Orient et d'Occident, Bayard, 2018";"Librairie Les Volcans";43447;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Petitrenaud, Jean-Luc (1950-…)";"Petitrenaud, Jean-Luc (1950-…)";;;"Livre : Bienvenue chez moi, Flammarion, 2016";"Librairie Les Volcans";43456;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Rufo, Marcel (1944-…)";"Rufo, Marcel (1944-…)";;;"Livre : Qui commande ici? Parents d'enfants tyrans, Anne Carrière, 2018";"Librairie Les Volcans";43484;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Maeght, Françoise dite Yoyo (1959-…)";"Maeght, Françoise dite Yoyo (1959-…)";;;"Livre : La Saga Maeght, Robert Laffont, 2014";"Librairie Les Volcans";43497;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Lacombe, Benjamin (1982-,,,)";"Lacombe, Benjamin (1982-,,,)";;;"Livre : Magicien d'Oz, Albin Michel jeunesse, 2018 (avec Sébastien Pérez)";"Librairie Les Volcans";43505;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Sansal, Boualem (1949-…)";"Sansal, Boualem (1949-…)";;;"Livre : Le Train d'Erlingen ou la Métamorphose de Dieu, éd. Gallimard, 2018";"Librairie Les Volcans";43508;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"ara";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Ozouf, Mona (1931-…)";"Ozouf, Mona (1931-…)";;;"Livre : L'autre George : à la rencontre de George Eliot, Gallimard, 2018";"Librairie Les Volcans";43533;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Weber, Jacques (1949-…)";"Weber, Jacques (1949-…)";;;"Rencontre en partenariat avec Becker's prod";"Librairie Les Volcans";43550;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Glücksman, Raphaël (1979-…)";"Glücksman, Raphaël (1979-…)";;;"Livre : Les enfants du vide. De l'impasse individualiste au réveil citoyen, Allaryéditions, 2018";"Librairie Les Volcans";43553;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Kauffman (1944-…)";"Kauffman (1944-…)";;;"Livre : Venise à double tour, Equateur, 2019";"Librairie Les Volcans";43580;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Adler, Laure (1950-,,,)";"Adler, Laure (1950-,,,)";;;"Livre : Les femmes artistes sont dangereuses, Flammarion (avec Camille Viéville)";"Librairie Les Volcans";43581;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Coppens, Yves (1934-,,,)";"Coppens, Yves (1934-,,,)";;;"Livre : Origines de l'Homme, origines d'un homme, Odile Jacob, 2018. Rencontre dans le cadre d'un partenariat avec Infini Sciences";"Librairie Les Volcans";43598;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Farah, Dalie (1973-…)";"Farah, Dalie (1973-…)";;;"Livre : Impasse Voltaire, Grasset, 2019";"Librairie Les Volcans";43610;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
