"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Monotropa hypopitys (Ericaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 7 1897|1897";"still image";"image/jpeg";"Monotropa_hypopitys_CLF094543";"Bibliothèque Université Clermont Auvergne";"fre";;"Tagnon, Ardennes, France";"Domaine public";"Monotropa_hypopitys_CLF094543.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Monotropa_hypopitys_CLF094543.jpg"
"Sorbus aucuparia (Rosaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"7 8 1897|1897";"still image";"image/jpeg";"Sorbus_aucuparia_CLF094544";"Bibliothèque Université Clermont Auvergne";"fre";;"Chooz, Ardennes, France";"Domaine public";"Sorbus_aucuparia_CLF094544.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Sorbus_aucuparia_CLF094544.jpg"
"Prunus spinosa (Rosaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 4 1898|1898";"still image";"image/jpeg";"Prunus_spinosa_CLF094545";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Prunus_spinosa_CLF094545.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Prunus_spinosa_CLF094545.jpg"
"Potentilla verna (Rosaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"15 4 1898|1898";"still image";"image/jpeg";"Potentilla_verna_CLF094546";"Bibliothèque Université Clermont Auvergne";"fre";;"Chooz, Ardennes, France";"Domaine public";"Potentilla_verna_CLF094546.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Potentilla_verna_CLF094546.jpg"
"Potentilla anserina (Rosaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"6 6 1898|1898";"still image";"image/jpeg";"Potentilla_anserina_CLF094547";"Bibliothèque Université Clermont Auvergne";"fre";;"Barby, Ardennes, France";"Domaine public";"Potentilla_anserina_CLF094547.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Potentilla_anserina_CLF094547.jpg"
"Potentilla reptans (Rosaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 7 1898|1898";"still image";"image/jpeg";"Potentilla_reptans_CLF094548";"Bibliothèque Université Clermont Auvergne";"fre";;"Barby, Ardennes, France";"Domaine public";"Potentilla_reptans_CLF094548.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Potentilla_reptans_CLF094548.jpg"
"Spiraea ulmaria (Rosaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 7 1897|1897";"still image";"image/jpeg";"Spiraea_ulmaria_CLF094549";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Spiraea_ulmaria_CLF094549.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Spiraea_ulmaria_CLF094549.jpg"
"Potentilla rupestris (Rosaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"29 6 1898|1898";"still image";"image/jpeg";"Potentilla_rupestris_CLF094550";"Bibliothèque Université Clermont Auvergne";"fre";;"Chooz, Ardennes, France";"Domaine public";"Potentilla_rupestris_CLF094550.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Potentilla_rupestris_CLF094550.jpg"
"Agrimonia eupatoria (Rosaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"16 6 1897|1897";"still image";"image/jpeg";"Agrimonia_eupatoria_CLF094551";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Agrimonia_eupatoria_CLF094551.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Agrimonia_eupatoria_CLF094551.jpg"
"Alchemilla arvensis (Rosaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"23 6 1897|1897";"still image";"image/jpeg";"Alchemilla_arvensis_CLF094552";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Alchemilla_arvensis_CLF094552.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Alchemilla_arvensis_CLF094552.jpg"
