"IDENTIFIANT";"TITRE";"EDITEUR";"DATE ";"DESCRIPTION";"CREATEUR";"LANGUE";"TYPE";"FORMAT 1";"Droits";"SOURCE";"URL"
"BCU_Bastaire_Stella_174_C92643_1110508";"Les deux cahiers";"Editions du ""Petit Echo de la Mode""";1927;"Collection Stella ; 174";"Acker Paul";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_174_C92643_1110508.pdf"
"BCU_Bastaire_Stella_179_C92645_1110510";"Le château des tempêtes";"Editions du ""Petit Echo de la Mode""";1927;"Collection Stella ; 179 ";"Bruyère André";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_179_C92645_1110510.pdf"
"BCU_Bastaire_Stella_181_C92646_1110513";"L'amour en deuil";"Editions du ""Petit Echo de la Mode""";1927;"Collection Stella ; 181 ";"Soy Emmanuel";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_181_C92646_1110513.pdf"
"BCU_Bastaire_Stella_183_C92648_1110520";"Une heure sonnera...";"Editions du ""Petit Echo de la Mode""";1927;"Collection Stella ; 183 ";"Bouvet Marie-Louise";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_183_C92648_1110520.pdf"
"BCU_Bastaire_Stella_186_C92649_1110558";"Petite maison, grand bonheur";"Editions du ""Petit Echo de la Mode""";1927;"Collection Stella ; 186 ";"Junka Paul";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_186_C92649_1110558.pdf"
"BCU_Bastaire_Stella_188_C92650_1110570";"Marguerite";"Editions du ""Petit Echo de la Mode""";1928;"Collection Stella ; 188 ";"Aigueperse Mathilde";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_188_C92650_1110570.pdf"
"BCU_Bastaire_Stella_190_C92651_1110575";"L'amour quand même";"Editions du ""Petit Echo de la Mode""";1928;"Collection Stella ; 190 ";"Loubens de Verdalle Clotilde de";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_190_C92651_1110575.pdf"
"BCU_Bastaire_Stella_191_C92652_1110585";"Souffrir pour vaincre";"Editions du ""Petit Echo de la Mode""";1928;"Collection Stella ; 191 ";"Carey Rosa Nouchette";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_191_C92652_1110585.pdf"
"BCU_Bastaire_Stella_193_C92653_1110588";"Les liens brisés";"Editions du ""Petit Echo de la Mode""";1928;"Collection Stella ; 193 ";"Mauclère Jean";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_193_C92653_1110588.pdf"
"BCU_Bastaire_Stella_194_C92655_1110596";"Jocelyne";"Editions du ""Petit Echo de la Mode""";1928;"Collection Stella ; 194 ";"Mercey Suzanne";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_194_C92655_1110596.pdf"
"BCU_Bastaire_Stella_195_C92657_1110600";"L'amour en péril";"Editions du ""Petit Echo de la Mode""";1928;"Collection Stella ; 195 ";"Procope Le Roux Marie-Antoinette";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_195_C92657_1110600.pdf"
"BCU_Bastaire_Stella_198_C92658_1110611";"Anne Hereford";"Editions du ""Petit Echo de la Mode""";1928;"Collection Stella ; 198";"Wood Mrs Henry";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_198_C92658_1110611.pdf"
"BCU_Bastaire_Stella_200_C92659_1110815";"Un an d'épreuve";"Editions du ""Petit Echo de la Mode""";1928;"Collection Stella ; 200 ";"Floran Mary";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_200_C92659_1110815.pdf"
"BCU_Bastaire_Stella_201_C92660_1110816";"L'aventure au bord de l'eau";"Editions du ""Petit Echo de la Mode""";1928;"Collection Stella ; 201 ";"Lusy Aude";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_201_C92660_1110816.pdf"
