"TITN";"EDITEUR";"DATE DE PUBLICATION";"TITRE";"SOUS-TITRE";"COLLECTION";"NUMÉRO";"NOM AUTEUR";"PRENOM AUTEUR";"LANGUE";;"AUTEUR1";"AUTEUR2";"DATE";"PAGES";"HAUTEUR";"COLLECTION";"Type";"Langue";"Format";"Droits";"IDENTIFIANT";"SOURCE";"URL"
"(OCoLC)689226563;sib1144711; 1110596";"Editions du ""Petit Echo de la Mode""";1928;"Jocelyne";;"Collection Stella";194;"Mercey";"Suzanne";"fre";"text";"Mercey, Suzanne (1884-1964) ";;"[1928] ";"158 p.";"18 cm";"Collection Stella ; 194";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_194_C92655_1110596";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_194_C92655_1110596.pdf"
"(OCoLC)690429495; 1110600";"Editions du ""Petit Echo de la Mode""";1928;"L'amour en péril";;"Collection Stella";195;"Procope Le Roux";"Marie-Antoinette";"fre";"text";"Procope Le Roux, Marie-Antoinette (18..-19..) ";;"[1928] ";"158 p.";"18 cm";"Collection Stella ; 195";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_195_C92657_1110600";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_195_C92657_1110600.pdf"
"(OCoLC)690429920; 1110611";"Editions du ""Petit Echo de la Mode""";1928;"Anne Hereford";;"Collection Stella";198;"Wood";"Mrs Henry";"fre";"text";"Wood, Mrs Henry (1814-1887) ";;"[1928] ";"158 p.";"18 cm";"Collection Stella ; 198";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_198_C92658_1110611";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_198_C92658_1110611.pdf"
"(OCoLC)690453200; 1110815";"Editions du ""Petit Echo de la Mode""";1928;"Un an d'épreuve";;"Collection Stella";200;"Floran";"Mary";"fre";"text";"Floran, Mary (1856-1934) ";;"[1928] ";"158 p.";"18 cm";"Collection Stella ; 200";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_200_C92659_1110815";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_200_C92659_1110815.pdf"
"(OCoLC)690453285; 1110816";"Editions du ""Petit Echo de la Mode""";1928;"L'aventure au bord de l'eau";;"Collection Stella";201;"Lusy";"Aude";"fre";"text";"Lusy, Aude (18..-19..) ";;"[1928] ";"157 p.";"18 cm";"Collection Stella ; 201";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_201_C92660_1110816";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_201_C92660_1110816.pdf"
"(OCoLC)690453414; 1110818";"Editions du ""Petit Echo de la Mode""";1928;"L'oiseau blanc";;"Collection Stella";204;"Wailly";"Marie de";"fre";"text";"Wailly, Marie de (1880-1964) ";;"[1928] ";"158 p.";"18 cm";"Collection Stella ; 204";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_204_C92661_1110818";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_204_C92661_1110818.pdf"
"(OCoLC)690453540; 1110824";"Editions du ""Petit Echo de la Mode""";1928;"Le jour de son mariage";;"Collection Stella";205;"Williamson";"Alice Muriel";"fre";"text";"Williamson, Alice Muriel (1869-1933) ";;"[1928] ";"190 p. ";"18 cm";"Collection Stella ; 205";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_205_C92662_1110824";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_205_C92662_1110824.pdf"
"(OCoLC)690454090; 1110835";"Editions du ""Petit Echo de la Mode""";1928;"Quand l'amour vient";;"Collection Stella";206;"Dourliac";"H.-A.";"fre";"text";"Dourliac, H.-A. (1860-19..) ";;"[1928] ";"158 p.";"18 cm";"Collection Stella ; 206";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_206_C92663_1110835";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_206_C92663_1110835.pdf"
"(OCoLC)690454881; 1110837";"Editions du ""Petit Echo de la Mode""";1928;"Chloé";;"Collection Stella";207;"Hungerford";"Margaret Wolfe";"fre";"text";"Hungerford, Margaret Wolfe (1855-1897) ";;"[1928] ";"158 p.";"18 cm";"Collection Stella ; 207";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_207_C92664_1110837";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_207_C92664_1110837.pdf"
"(OCoLC)690455082; 1110840";"Editions du ""Petit Echo de la Mode""";1928;"Les inépousées";;"Collection Stella";208;"Duhamelet";"Geneviève";"fre";"text";"Duhamelet, Geneviève (1890-1980) ";;"[1928] ";"158 p.";"18 cm";"Collection Stella ; 208";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_208_C92665_1110840";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_208_C92665_1110840.pdf"
"(OCoLC)458280832;sib0389304; 1110843";"Editions du ""Petit Echo de la Mode""";1928;"En lutte";;"Collection Stella";210;"Bouvet";"Marie-Louise";"fre";"text";"Bouvet, Marie-Louise (1869-1954) ";;"[1928] ";"158 p.";"18 cm";"Collection Stella ; 210";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_210_C92666_1110843";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_210_C92666_1110843.pdf"
"(OCoLC)689499776;sib0389247; 1110845";"Editions du ""Petit Echo de la Mode""";1929;"L'audacieuse décision";;"Collection Stella";215;"Fiel";"Marthe";"fre";"text";"Fiel, Marthe (1873-1949) ";;"[1929] ";"158 p.";"18 cm";"Collection Stella ; 215";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_215_C92667_1110845";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_215_C92667_1110845.pdf"
"(OCoLC)690455678; 1110848";"Editions du ""Petit Echo de la Mode""";1929;"Comme jadis...";"roman canadien";"Collection Stella";217;"Michelet";"Magali";"fre";"text";"Michelet, Magali (18..-19..) ";;"[1929] ";"158 p.";"18 cm";"Collection Stella ; 217";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_217_C92668_1110848";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_217_C92668_1110848.pdf"
"(OCoLC)458547308;sib0389455; 1110851";"Editions du ""Petit Echo de la Mode""";1929;"La fille du contrebandier";;"Collection Stella";218;"Vidouze";"Jean de";"fre";"text";"Vidouze, Jean de (18..-19..) ";;"[1929] ";"158 p.";"18 cm";"Collection Stella ; 218";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_218_C92669_1110851";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_218_C92669_1110851.pdf"
"(OCoLC)690456254; 1110852";"Editions du ""Petit Echo de la Mode""";1929;"Ceux qui vivent";;"Collection Stella";219;"Renaudy";"Claude";"fre";"text";"Renaudy, Claude (1904-1943) ";;"[1929] ";"158 p.";"18 cm";"Collection Stella ; 219";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_219_C92670_1110852";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_219_C92670_1110852.pdf"
"(OCoLC)689499713;sib0389216; 1110855";"Editions du ""Petit Echo de la Mode""";1929;"Le coeur de tante Miche";;"Collection Stella";221;"Magali";;"fre";"text";"Magali (1898-1986) ";;"[1929] ";"158 p.";"18 cm";"Collection Stella ; 221";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_221_C92672_1110855";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_221_C92672_1110855.pdf"
"(OCoLC)689557582;sib1286481; 1110858";"Editions du ""Petit Echo de la Mode""";1929;"Le jardin bleu";;"Collection Stella";223;"Bruyère";"André";"fre";"text";"Bruyère, André (1882-1962) ";;"[1929] ";"190 p. ";"18 cm";"Collection Stella ; 223";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_223_C92673_1110858";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_223_C92673_1110858.pdf"
"(OCoLC)458334862;sib0389456; 1110860";"Editions du ""Petit Echo de la Mode""";1929;"La cruelle victoire";;"Collection Stella";225;"Vallet";"Maurice";"fre";"text";"Vallet, Maurice (18..-19..) ";;"[1929] ";"158 p.";"18 cm";"Collection Stella ; 225";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_225_C92675_1110860";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_225_C92675_1110860.pdf"
"(OCoLC)459268503; 1110861";"Editions du ""Petit Echo de la Mode""";1929;"Mlle d'Hervic, mécano";;"Collection Stella";226;"Doré";"Manuel";"fre";"text";"Doré, Manuel (18..-19..) ";;"[1929] ";"158 p.";"18 cm";"Collection Stella ; 226";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_226_C92676_1110861";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_226_C92676_1110861.pdf"
"(OCoLC)690457874; 1110863";"Editions du ""Petit Echo de la Mode""";1929;"Prix de beauté";;"Collection Stella";227;"Williamson";"Alice Muriel";"fre";"text";"Williamson, Alice Muriel (1869-1933) ";;"[1929] ";"158 p.";"18 cm";"Collection Stella ; 227";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_227_C92677_1110863";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_227_C92677_1110863.pdf"
"(OCoLC)689297381;sib1224191; 1110866";"Editions du ""Petit Echo de la Mode""";1929;"La demoiselle de compagnie";;"Collection Stella";229;"Cervières";"Paul";"fre";"text";"Cervières, Paul (1876-1964) ";;"[1929] ";"158 p.";"18 cm";"Collection Stella ; 229";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_229_C92678_1110866";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_229_C92678_1110866.pdf"
"(OCoLC)689500253;sib0389454; 1110871";"Editions du ""Petit Echo de la Mode""";1929;"L'anneau d'opales";;"Collection Stella";231;"Beudant";"Marie";"fre";"text";"Beudant, Marie (18..-19..) ";;"[1929] ";"158 p.";"18 cm";"Collection Stella ; 231";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_231_C92680_1110871";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_231_C92680_1110871.pdf"
"(OCoLC)689500034;sib0389349; 1110875";"Editions du ""Petit Echo de la Mode""";1929;"J'aimerais aimer...";;"Collection Stella";235;"Dourliac";"H.-A.";"fre";"text";"Dourliac, H.-A. (1860-1936) ";;"[1929] ";"158 p.";"18 cm";"Collection Stella ; 235";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_235_C92681_1110875";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_235_C92681_1110875.pdf"
"(OCoLC)689539792;sib1203709; 1110885";"Editions du ""Petit Echo de la Mode""";1930;"L'infant à l'escarboucle";;"Collection Stella";236;"Cys";"Éric de";"fre";"text";"Cys, Éric de (1889-1956) ";;"[1930] ";"190 p. ";"18 cm";"Collection Stella ; 236";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_236_C92682_1110885";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_236_C92682_1110885.pdf"
"(OCoLC)690460380; 1110886";"Editions du ""Petit Echo de la Mode""";1930;"Quand la cloche sonna...";;"Collection Stella";238;"Hella";"Mary";"fre";"text";"Hella, Mary (18..-19..) ";;"[1930] ";"158 p.";"18 cm";"Collection Stella ; 238";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_238_C92683_1110886";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_238_C92683_1110886.pdf"
"(OCoLC)690460548; 1110890";"Editions du ""Petit Echo de la Mode""";1930;"L'ombre de la gloire";;"Collection Stella";241;"Renaudy";"Claude";"fre";"text";"Renaudy, Claude (1904-1943) ";;"[1930] ";"158 p.";"18 cm";"Collection Stella ; 241";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_241_C92684_1110890";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_241_C92684_1110890.pdf"
"(OCoLC)690460637; 1110893";"Editions du ""Petit Echo de la Mode""";1930;"Le fiancé disparu";;"Collection Stella";242;"Gourdon";"Pierre";"fre";"text";"Gourdon, Pierre (1869-1952) ";;"[1930] ";"158 p.";"18 cm";"Collection Stella ; 242";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_242_C92685_1110893";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_242_C92685_1110893.pdf"
"(OCoLC)689854667;sib1501365; 1110897";"Editions du ""Petit Echo de la Mode""";1930;"Mon lieutenant";;"Collection Stella";243;"Lecomte";"Geneviève";"fre";"text";"Lecomte, Geneviève (18..-19..) ";;"[1930] ";"158 p.";"18 cm";"Collection Stella ; 243";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_243_C92686_1110897";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_243_C92686_1110897.pdf"
"(OCoLC)690461033; 1110901";"Editions du ""Petit Echo de la Mode""";1930;"Un chevalier d'aujourd'hui";;"Collection Stella";244;"Carey";"Rosa Nouchette";"fre";"text";"Carey, Rosa Nouchette (1840-1909) ";;"[1930] ";"158 p.";"18 cm";"Collection Stella ; 244";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_244_C92687_1110901";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_244_C92687_1110901.pdf"
"(OCoLC)690461343; 1110904";"Editions du ""Petit Echo de la Mode""";1930;"Lucile et le mariage";;"Collection Stella";246;"Alciette";"Pierre";"fre";"text";"Alciette, Pierre (18..-19..) ";;"[1930] ";"158 p.";"18 cm";"Collection Stella ; 246";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_246_C92688_1110904";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_246_C92688_1110904.pdf"
"(OCoLC)690461612; 1110911";"Editions du ""Petit Echo de la Mode""";1930;"Sylvia";;"Collection Stella";247;"Vesco";"Marie Edmée";"fre";"text";"Vesco, Marie Edmée (1871-1945) ";;"[1930] ";"192 p.";"18 cm";"Collection Stella ; 247";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_247_C92690_1110911";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_247_C92689_1110911.pdf"
"(OCoLC)689507123;sib0391211; 1110913";"Editions du ""Petit Echo de la Mode""";1930;"La comtesse Edith";;"Collection Stella";248;"Cys";"Éric de";"fre";"text";"Cys, Éric de (1889-1956) ";"Ichard, Jeanne Louise Marie (1876 -1951) ";"[1930] ";"158 p.";"18 cm";"Collection Stella ; 248";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_248_C92691_1110913";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_248_C92691_1110913.pdf"
"(OCoLC)689818003;sib1321321; 1110917";"Editions du ""Petit Echo de la Mode""";1930;"La femme d'Alain";;"Collection Stella";250;"Mouans";"Anne";"fre";"text";"Mouans, Anne (18..-19..) ";;"[1930] ";"190 p. ";"18 cm";"Collection Stella ; 250";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_250_C92692_1110917";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_250_C92692_1110917.pdf"
"(OCoLC)689499737;sib0389226; 1110919";"Editions du ""Petit Echo de la Mode""";1930;"Lyne aux roses";;"Collection Stella";252;"Cantegrive";"Anda";"fre";"text";"Cantegrive, Anda (18..-19..) ";;"[1930] ";"160 p. ";"18 cm";"Collection Stella ; 252";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_252_C92693_1110919";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_252_C92693_1110919.pdf"
"(OCoLC)690462632;sib0389226; 1110925";"Editions du ""Petit Echo de la Mode""";1930;"Telle que je suis";;"Collection Stella";255;"Vérine";"Camille de";"fre";"text";"Vérine, Camille de (18..-19..) ";;"[1930] ";"190 p. ";"18 cm";"Collection Stella ; 255";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_255_C92694_1110925";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_255_C92694_1110925.pdf"
"(OCoLC)689506687;sib0391039; 1110927";"Editions du ""Petit Echo de la Mode""";1930;"La Jeannette";;"Collection Stella";256;"Vavasseur-Acher Simonet";"Alphonsine";"fre";"text";"Vavasseur-Acher Simonet, Alphonsine (1886-1952) ";;1930;"157 p.";"18 cm";"Collection Stella ; 256";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_256_C92695_1110927";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_256_C92695_1110927.pdf"
"(OCoLC)689302707;sib1224631; 1110931";"Editions du ""Petit Echo de la Mode""";1930;"L'aube sur la montagne";;"Collection Stella";257;"Renaudy";"Claude";"fre";"text";"Renaudy, Claude (1904-1943) ";;"[1930] ";"160 p. ";"18 cm";"Collection Stella ; 257";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_257_C92697_1110931";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_257_C92697_1110931.pdf"
"(OCoLC)689854668;sib1501383; 1110934";"Editions du ""Petit Echo de la Mode""";1930;"Seule dans la vie";;"Collection Stella";259;"Hullet";"Marie-Anne";"fre";"text";"Hullet, Marie-Anne (18..-19..) ";;"[1930] ";"160 p. ";"18 cm";"Collection Stella ; 259";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_259_C92698_1110934";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_259_C92698_1110934.pdf"
"(OCoLC)690463392; 1110940";"Editions du ""Petit Echo de la Mode""";1931;"Le roman d'un joueur";;"Collection Stella";260;"Metcalf";"Edith";"fre";"text";"Metcalf, Edith (18..-19..) ";;"[1931] ";"160 p. ";"18 cm";"Collection Stella ; 260";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_260_C92699_1110940";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_260_C92699_1110940.pdf"
"(OCoLC)689499907;sib0389289; 1110942";"Editions du ""Petit Echo de la Mode""";1931;"Au-dessus de l'amour";;"Collection Stella";261;"Dourliac";"H.-A.";"fre";"text";"Dourliac, H.-A. (1860-1936) ";;"[1931] ";"192 p. ";"18 cm";"Collection Stella ; 261";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_261_C92700_1110942";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_261_C92700_1110942.pdf"
"(OCoLC)690464148; 1110946";"Editions du ""Petit Echo de la Mode""";1931;"Perlette";;"Collection Stella";262;"Loisel";"Yvonne";"fre";"text";"Loisel, Yvonne (1877-1960) ";;"[1931] ";"160 p. ";"18 cm";"Collection Stella ; 262";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_262_C92702_1110946";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_262_C92702_1110946.pdf"
"(OCoLC)690464322; 1110950";"Editions du ""Petit Echo de la Mode""";1931;"Comme une fleur se fane...";;"Collection Stella";263;"Paquier";"Charles";"fre";"text";"Paquier, Charles (18..-19..) ";;"[1931] ";"160 p. ";"18 cm";"Collection Stella ; 263";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_263_C92704_1110950";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_263_C92704_1110950.pdf"
"(OCoLC)689500250;sib0389453; 1110968";"Editions du ""Petit Echo de la Mode""";1931;"Dette sacrée";;"Collection Stella";266;"Mouans";"Anne";"fre";"text";"Mouans, Anne (18..-19..) ";;"[1931] ";"192 p. ";"18 cm";"Collection Stella ; 266";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_266_C92706_1110968";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_266_C92706_1110968.pdf"
"(OCoLC)689853709;sib1492381; 1110970";"Editions du ""Petit Echo de la Mode""";1931;"La malle des îles";;"Collection Stella";267;"Grandchamp";"Jacques";"fre";"text";"Grandchamp, Jacques (1885-1956) ";;"[1931] ";"159 p. ";"18 cm";"Collection Stella ; 267";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_267_C92707_1110970";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_267_C92707_1110970.pdf"
"(OCoLC)689303325;sib1224677; 1110972";"Editions du ""Petit Echo de la Mode""";1931;"Le mari d'Emine";;"Collection Stella";268;"Fiel";"Marthe";"fre";"text";"Fiel, Marthe (1873-1949) ";;"[1931] ";"160 p. ";"18 cm";"Collection Stella ; 268";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_268_C92708_1110972";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_268_C92708_1110972.pdf"
"(OCoLC)689299519;sib1224374; 1110981";"Editions du ""Petit Echo de la Mode""";1931;"Les coeurs nouveaux";;"Collection Stella";272;"Héricart";"Jean";"fre";"text";"Héricart, Jean (18..-19..) ";;"[1931] ";"160 p. ";"18 cm";"Collection Stella ; 272";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_272_C92709_1110981";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_272_C92709_1110981.pdf"
"(OCoLC)690473275; 1110984";"Editions du ""Petit Echo de la Mode""";1931;"Les roses d'automne";;"Collection Stella";273;"Lecomte";"Geneviève";"fre";"text";"Lecomte, Geneviève (18..-19..) ";;"[1931] ";"160 p. ";"18 cm";"Collection Stella ; 273";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_273_C92711_1110984";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_273_C92711_1110984.pdf"
"(OCoLC)689499983;sib0389331; 1110993";"Editions du ""Petit Echo de la Mode""";1931;"La revanche de Nysette";"roman inédit";"Collection Stella";276;"Vertiol";"Andrée";"fre";"text";"Vertiol, Andrée ";;"[1931] ";"160 p. ";"18 cm";"Collection Stella ; 276";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_276_C92712_1110993";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_276_C92712_1110993.pdf"
"(OCoLC)458547323;sib0391046; 1110995";"Editions du ""Petit Echo de la Mode""";1931;"Les nouveaux maîtres";;"Collection Stella";278;"Vidouze";"Jean de";"fre";"text";"Vidouze, Jean de (18..-19..) ";;"[1931] ";"160 p. ";"18 cm";"Collection Stella ; 278";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_278_C92713_1110995";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_278_C92713_1110995.pdf"
"(OCoLC)690475084; 1110997";"Editions du ""Petit Echo de la Mode""";1931;"La vierge d'ivoire";;"Collection Stella";279;"Bouvet";"Marie-Louise";"fre";"text";"Bouvet, Marie-Louise (1869-1954) ";;"[1931] ";"160 p. ";"18 cm";"Collection Stella ; 279";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_279_C92714_1110997";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_279_C92714_1110997.pdf"
"(OCoLC)689499988;sib0389333; 1111004";"Editions du ""Petit Echo de la Mode""";1931;"""Je ne veux pas aimer !""";;"Collection Stella";280;"Dourliac";"H.-A.";"fre";"text";"Dourliac, H.-A. (1860-1936) ";;"[1931] ";"160 p. ";"18 cm";"Collection Stella ; 280";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_280_C92715_1111004";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_280_C92715_1111004.pdf"
"(OCoLC)690556690; 1111007";"Editions du ""Petit Echo de la Mode""";1931;"Plus haut";;"Collection Stella";281;"Mouans";"Anne";"fre";"text";"Mouans, Anne (18..-19..) ";;"[1931] ";"160 p. ";"18 cm";"Collection Stella ; 281";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_281_C92717_1111007";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_281_C92717_1111007.pdf"
