"TITN";"EDITEUR";"DATE DE PUBLICATION";"TITRE";"SOUS-TITRE";"COLLECTION";"NUMÉRO";"NOM AUTEUR";"PRENOM AUTEUR";"LANGUE";;"AUTEUR1";"AUTEUR2";"DATE";"PAGES";"HAUTEUR";"COLLECTION";"Type";"Langue";"Format";"Droits";"IDENTIFIANT";"SOURCE";"URL"
"(OCoLC)690551532; 1109765";"Editions du ""Petit Echo de la Mode""";"1922 ?";"L'algue d'or";;"Collection Stella";60;"Coulomb";"Jeanne de";"fre";"text";"Coulomb, Jeanne de (1864 -1945) ";;"[1922?] ";"191 p.";"18 cm";"Collection Stella ; 60";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_60_C92574_1109765";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_60_C92574_1109765.pdf"
"(OCoLC)689499711;sib0389213; 1109768";"Editions du ""Petit Echo de la Mode""";1922;"Carmencita";;"Collection Stella";63;"Floran";"Mary";"fre";"text";"Floran, Mary (1856-1934) ";;"[1922] ";"160 p. ";"18 cm";"Collection Stella ; 63";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_63_C92576_1109768";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_63_C92576_1109768.pdf"
"(OCoLC)689853706;sib1492274; 1109770";"Editions du ""Petit Echo de la Mode""";"1922 ?";"Phyllis";;"Collection Stella";65;"Pujo";"Alice";"fre";"text";"Pujo, Alice (1869-1953) ";;"[1922?] ";"192 p.";"18 cm";"Collection Stella ; 65";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_65_C92577_1109770";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_65_C92577_1109770.pdf"
"(OCoLC)689503677;sib0390225; 1109776";"Editions du ""Petit Echo de la Mode""";1922;"Noëlle";;"Collection Stella";67;"Champol";;"fre";"text";"Champol (1857-1924) ";;"[1922] ";"191 p.";"18 cm";"Collection Stella ; 67";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_67_C92580_1109776";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_67_C92580_1109776.pdf"
"(OCoLC)689816794;sib1313579; 1109779";"Editions du ""Petit Echo de la Mode""";1923;"Le mari de Viviane";;"Collection Stella";69;"Schultz";"Yvonne";"fre";"text";"Schultz, Yvonne (18..-19..) ";;"© 1923";"159 p. ";"18 cm";"Collection Stella ; 69";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_69_C92583_1109779";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_69_C92583_1109779.pdf"
"(OCoLC)690370778; 1109780";"Editions du ""Petit Echo de la Mode""";"1923 ?";"Les sources claires";;"Collection Stella";73;"Escola";"Marguerite d'";"fre";"text";"Escola, Marguerite d' (18..-19..) ";;"[1923?] ";"158 p.";"18 cm";"Collection Stella ; 73";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_73_C92584_1109780";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_73_C92584_1109780.pdf"
"(OCoLC)690370995; 1109789";"Editions du ""Petit Echo de la Mode""";"1923 ?";"Le tournant";;"Collection Stella";75;"Villetard";"Pierre";"fre";"text";"Villetard, Pierre (1874-1956) ";;"[1923?] ";"160 p. ";"18 cm";"Collection Stella ; 75";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_75_C92585_1109789";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_75_C92585_1109789.pdf"
"(OCoLC)690371187; 1109793";"Editions du ""Petit Echo de la Mode""";"1923 ?";"Tante Babiole";;"Collection Stella";76;"Alanic";"Mathilde";"fre";"text";"Alanic, Mathilde (1864-1948) ";;"[1923?] ";"158 p.";"18 cm";"Collection Stella ; 76";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_76_C92586_1109793";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_76_C92586_1109793.pdf"
"(OCoLC)690371610; 1109797";"Editions du ""Petit Echo de la Mode""";"1923 ?";"La belle histoire de Maguelonne";;"Collection Stella";79;"Coulomb";"Jeanne de";"fre";"text";"Coulomb, Jeanne de (1864 -1945) ";;"[1923?] ";"192 p.";"18 cm";"Collection Stella ; 79";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_79_C92588_1109797";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_79_C92588_1109797.pdf"
"(OCoLC)458382281; 1109806";"Editions du ""Petit Echo de la Mode""";1923;"La transfuge";;"Collection Stella";80;"Trilby";"T.";"fre";"text";"Trilby, T. (1875-1962) ";;"[1923] ";"160 p. ";"18 cm";"Collection Stella ; 80";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_80_C92589_1109806";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_80_C92589_1109806.pdf"
