"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"preparation identifiant";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Préparation url "
"lotus villosus  (Légumineuses)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Légumineuses_lotus_villosus_MAB02360";"Legumineuses_lotus_villosus_MAB02360";"Bibliothèque Université Clermont Auvergne";"fre";;"Provence, Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Legumineuses_lotus_villosus_MAB02360.jpg"
"arum arisarum  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_arum_arisarum_MAB02361";"_arum_arisarum_MAB02361";"Bibliothèque Université Clermont Auvergne";"fre";;"Provence";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_arum_arisarum_MAB02361.jpg"
"asplemium adianthum  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_asplemium_adianthum_MAB02362";"_asplemium_adianthum_MAB02362";"Bibliothèque Université Clermont Auvergne";"fre";;"Midi? Probablement";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_asplemium_adianthum_MAB02362.jpg"
"aspidium aculeatum  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_aspidium_aculeatum_MAB02363";"_aspidium_aculeatum_MAB02363";"Bibliothèque Université Clermont Auvergne";"fre";;"Royat";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_aspidium_aculeatum_MAB02363.jpg"
"hordeum ?  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_hordeum_?_MAB02364";"_hordeum_?_MAB02364";"Bibliothèque Université Clermont Auvergne";"fre";;"Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_hordeum_?_MAB02364.jpg"
"biemus arvensis  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_biemus_arvensis_MAB02365";"_biemus_arvensis_MAB02365";"Bibliothèque Université Clermont Auvergne";"fre";;"Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_biemus_arvensis_MAB02365.jpg"
"? ?  ()";"Migout";"Feningre";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_?_?_MAB02366";"_?_?_MAB02366";"Bibliothèque Université Clermont Auvergne";"fre";;"Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_?_?_MAB02366.jpg"
"luzula nivea  (Joncées)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Joncées_luzula_nivea_MAB02367";"Joncees_luzula_nivea_MAB02367";"Bibliothèque Université Clermont Auvergne";"fre";;"Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Joncees_luzula_nivea_MAB02367.jpg"
"aira aquatica  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_aira_aquatica_MAB02368";"_aira_aquatica_MAB02368";"Bibliothèque Université Clermont Auvergne";"fre";;"Teyde, Puy-de-Dôme";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_aira_aquatica_MAB02368.jpg"
"aegilops triuncialis  (Graminées)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Graminées_aegilops_triuncialis_MAB02369";"Graminees_aegilops_triuncialis_MAB02369";"Bibliothèque Université Clermont Auvergne";"fre";;"Provence, Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Graminees_aegilops_triuncialis_MAB02369.jpg"
"weigelia grandiflora  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";"mai 1862";"still image";"image/jpeg";"_weigelia_grandiflora_MAB02371";"_weigelia_grandiflora_MAB02371";"Bibliothèque Université Clermont Auvergne";"fre";;"Coudray";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_weigelia_grandiflora_MAB02371.jpg"
"? ?  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";"mai 1862";"still image";"image/jpeg";"_?_?_MAB02370";"_?_?_MAB02370";"Bibliothèque Université Clermont Auvergne";"fre";;"jardin de Nohant";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_?_?_MAB02370.jpg"
"malcolmia maritima  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_malcolmia_maritima_MAB02372";"_malcolmia_maritima_MAB02372";"Bibliothèque Université Clermont Auvergne";"fre";;"Aigues-Mortes";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_malcolmia_maritima_MAB02372.jpg"
"lycopodium inundatum  (Lycopodiacées)";"Migout";"Rochette";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Lycopodiacées_lycopodium_inundatum_MAB02373";"Lycopodiacees_lycopodium_inundatum_MAB02373";"Bibliothèque Université Clermont Auvergne";"fre";;"environs de Paris";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lycopodiacees_lycopodium_inundatum_MAB02373.jpg"
"chionanthus virgineus  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";"mai 1862";"still image";"image/jpeg";"_chionanthus_virgineus_MAB02374";"_chionanthus_virgineus_MAB02374";"Bibliothèque Université Clermont Auvergne";"fre";;"jardin du Malgache, Nohant";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_chionanthus_virgineus_MAB02374.jpg"
